MOCS ID,Fiscal Year,Source,Council Member,Legal Name of Organization,EIN,Status,amount,Agency,Program Name,Address,Address 2 (optional),City,State,Postcode,Purpose of Funds,Fiscal Conduit Name,FC EIN,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
FY21 00018,2021,Local,Richards,1199 SEIU Employer Child Care Corporation,134063281,Cleared,5000,DYCD,,330 West 42nd Street,,"New York, NY",NY,11208,"Funds will be used to support both our Workforce 2000 and Youth Mentoring Programs. Programs which previously featured in person workshops and instruction now have been challenged to provide remote learning tools including curriculum and state of the art technical equipment (Ipads/tablets). Funds will support the 2020-2021 program curriculum which will direct participants ages 14-18 to embark on a COVID-19 related healthcare project focused on hospitals and nursing homes located in Queens, NY.",,,BROOKLYN,40.651664,-74.009118,307,38,82,,,Sunset Park West
FY21 00019,2021,Local,Ampry-Samuel,1199 SEIU Employer Child Care Corporation,134063281,Cleared,13000,DYCD,,330 West 42nd Street,,"New York, NY",NY,11208,"Funds will be used to support the 1199SEIU / Employer Childcare Corporation' Future of America Learning Center (FALC), WorkForce2000 (WF2) and its early childhood educators.",,,BROOKLYN,40.651664,-74.009118,307,38,82,,,Sunset Park West
FY21 00020,2021,Local,Louis,1199 SEIU Employer Child Care Corporation,134063281,Cleared,5000,DYCD,Council District 45,330 West 42nd Street,,"New York, NY",NY,11208,"Funds will be used to support the 1199SEIU / Employer Childcare Corporation' Future of America Learning Center (FALC), WorkForce2000 (WF2) and its early childhood educators.",,,BROOKLYN,40.651664,-74.009118,307,38,82,,,Sunset Park West
FY21 00021,2021,Youth,Riley,1199 SEIU Employer Child Care Corporation,134063281,Cleared,10000,DYCD,Future of America Learning Center - Next Generation Academy,330 West 42nd Street,,"New York, NY",NY,11208,Funds to be used to support the Future of America Learning Center/1199 Child Care Corporation.,,,BROOKLYN,40.651664,-74.009118,307,38,82,,,Sunset Park West
FY21 00022,2021,Local,Matteo,122nd Precinct Community Council,133371153,Cleared,5000,DYCD,,2320 Hylan Blvd.,,Staten Island,NY,10306,"Funds will be used for supplies, marketing, rentals, food for National Night Out, seasonal events, youth explorers and community meetings.",,,STATEN IS,40.5743,-74.105888,502,50,11202,5107580,5039060001,New Dorp-Midland Beach
FY21 00023,2021,Anti-Poverty,Ayala,"161st Street Merchants Association, Inc.",300064721,Cleared,5500,DYCD,,"2865 Kingsbridge terrace, Suite 7M",,Bronx,NY,10463,"To provide funding for the Back to School Jamm, Thanksgiving Turkey Giveaway, and Holiday Celebration.",,,BRONX,40.874317,-73.902631,208,14,273,2015735,2032560156,Van Cortlandt Village
FY21 00024,2021,Local,Gibson,"161st Street Merchants Association, Inc.",300064721,Cleared,8000,DYCD,Council District 16,"2865 Kingsbridge terrace, Suite 7M",,Bronx,NY,10463,"Funding to support community events including Back-to-School Health Fair, turkey give-away to homeless veterans and residents, and the annual Holiday Celebration in Council District 16.",,,BRONX,40.874317,-73.902631,208,14,273,2015735,2032560156,Van Cortlandt Village
FY21 07885,2021,Neighborhood Development Grant Initiative,Gennaro,165th Street Mall Improvement Association,112421647,Pending,20000,SBS,District Marketing/Local Tourism,"90-50 Parsons Boulevard, Suite 209",,Jamaica,NY,11432,"To support neighborhood-level initiatives that promote economic development, job creation and retention, and community investment. Funds can be allocated for any one of five qualifying purposes: Business Attraction and Retention, Merchant Organizing/BID Formation, District Marketing/Local Tourism Initiatives, Placemaking/Plaza/Public Space Activation/Public Art, and Organizational Development/Project Management Support.",,,QUEENS,40.70376,-73.800465,412,24,240,4565228,4097540034,Jamaica
FY21 05899,2021,Art a Catalyst for Change,,"2020 Vision for Schools, Inc.",453023036,Cleared,11050,DCLA,,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,This allocation supports borough-wide event incorporating the work of the other organizations/schools in each borough funded in this initiative.,,,,,,,,,,,
FY21 05900,2021,Art a Catalyst for Change,,"2020 Vision for Schools, Inc.",453023036,Cleared,15300,DCLA,Junior High School 117X,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,"This allocation supports the use of art as a means to engage, organize, and mobilize communities in the public awareness and conflict mediation surrounding gun violence.",,,,,,,,,,,
FY21 05901,2021,Art a Catalyst for Change,,"2020 Vision for Schools, Inc.",453023036,Cleared,15300,DCLA,Public School / Middle School 183,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,"This allocation supports the use of art as a means to engage, organize, and mobilize communities in the public awareness and conflict mediation surrounding gun violence.",,,,,,,,,,,
FY21 05902,2021,Art a Catalyst for Change,,"2020 Vision for Schools, Inc.",453023036,Cleared,15300,DCLA,Public School / Middle School 42M,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,"This allocation supports the use of art as a means to engage, organize, and mobilize communities in the public awareness and conflict mediation surrounding gun violence.",,,,,,,,,,,
FY21 05903,2021,Art a Catalyst for Change,,"2020 Vision for Schools, Inc.",453023036,Cleared,15300,DCLA,"Public School 279X Captain Manuel Rivera, Jr. (10X279)",20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,"This allocation supports the use of art as a means to engage, organize, and mobilize communities in the public awareness and conflict mediation surrounding gun violence.",,,,,,,,,,,
FY21 06579,2021,Cultural After-School Adventure (CASA),Cohen,"2020 Vision for Schools, Inc.",453023036,Cleared,20000,DCLA,Middle School/Intermediate School (10X141),20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,This funding engages cultural programs and institutions to provide arts enrichment to students through after-school programs.,,,,,,,,,,,
FY21 06485,2021,Cultural After-School Adventure (CASA),Adams,"2020 Vision for Schools, Inc.",453023036,Cleared,20000,DCLA,Public School 155Q (27Q155),20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,This funding engages cultural programs and institutions to provide arts enrichment to students through after-school programs.,,,,,,,,,,,
FY21 07102,2021,Cultural Immigrant Initiative,Eugene,"2020 Vision for Schools, Inc.",453023036,Cleared,10000,DCLA,,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,The funds will be used to support cultural organizations to provide programming focused on the cultural history or traditions of an immigrant community in New York City. This initiative will help increase access to unique cultural offerings that focus on immigrant heritages.,,,,,,,,,,,
FY21 00676,2021,Local,Holden,"Business Outreach Center Network, Inc.",113306111,Cleared,3500,SBS,,85 South Oxford Street,,Brooklyn,NY,11217,Funds to be used for business and industrial promotion and development.,,,BROOKLYN,40.686918,-73.973563,302,35,181,3059350,3021180011,Fort Greene
FY21 08496,2021,Cultural Immigrant Initiative,Cabrera,"2020 Vision for Schools, Inc.",453023036,Cleared,10000,DCLA,,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,The funds will be used to support cultural organizations to provide programming focused on the cultural history or traditions of an immigrant community in New York City. This initiative will help increase access to unique cultural offerings that focus on immigrant heritages.,,,,,,,,,,,
FY21 07049,2021,Cultural Immigrant Initiative,Brannan,"2020 Vision for Schools, Inc.",453023036,Cleared,20000,DCLA,,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,The funds will be used to support cultural organizations to provide programming focused on the cultural history or traditions of an immigrant community in New York City. This initiative will help increase access to unique cultural offerings that focus on immigrant heritages.,,,,,,,,,,,
FY21 07872,2021,Neighborhood Development Grant Initiative,Eugene,"2020 Vision for Schools, Inc.",453023036,Cleared,10000,SBS,,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,"To support neighborhood-level initiatives that promote economic development, job creation and retention, and community investment. Funds can be allocated for any one of five qualifying purposes: Business Attraction and Retention, Merchant Organizing/BID Formation, District Marketing/Local Tourism Initiatives, Placemaking/Plaza/Public Space Activation/Public Art, and Organizational Development/Project Management Support.",,,,,,,,,,,
FY21 00025,2021,Youth,Ayala,"2020 Vision for Schools, Inc.",453023036,Cleared,5000,DYCD,,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,"To provide funding to support programming that promotes fitness, sportsmanship, and teamwork for youth in Council District 8.",,,,,,,,,,,
FY21 00026,2021,Youth,Rivera,"2020 Vision for Schools, Inc.",453023036,Cleared,5000,DYCD,,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,Funding will support Thrive Collective's programming in Council District 2.,,,,,,,,,,,
FY21 00027,2021,Youth,Treyger,"2020 Vision for Schools, Inc.",453023036,Cleared,8500,DYCD,,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,Funding for a mural project in partnership with a public school in Coney Island in Council District 47.,,,,,,,,,,,
FY21 00028,2021,Youth,Cabrera,"2020 Vision for Schools, Inc.",453023036,Cleared,10000,DYCD,Council District 14,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,Funding will support 20/20's school mural program for 2 schools in Council District 14. This will also cover 20/20's mentorship program for youth in Council District 14.,,,,,,,,,,,
FY21 00029,2021,Youth,Brannan,"2020 Vision for Schools, Inc.",453023036,Cleared,7500,DYCD,School Murals - Council District 43,20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,Funding to support school murals and art education in Council District 43.,,,,,,,,,,,
FY21 08948,2021,Local,Ampry-Samuel,"71st Precinct Community Council, Inc.",43784543,Cleared,5000,DYCD,,421 Empire Boulevard,,Brooklyn,NY,11225,Funds will be used to support 71st Precinct Council community events.,,,BROOKLYN,40.664113,-73.947763,309,35,331,3034563,3013100001,Crown Heights South
FY21 06858,2021,Cultural After-School Adventure (CASA),Richards,"A Better Jamaica, Inc.",113804421,Cleared,20000,DCLA,Community Voices Middle School (29Q356),114-73 178th Street,,Jamaica,NY,11434,This funding engages cultural programs and institutions to provide arts enrichment to students through after-school programs.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 08430,2021,Cultural After-School Adventure (CASA),Miller,"A Better Jamaica, Inc.",113804421,Cleared,20000,DCLA,Intermediate School 59Q (29Q059),114-73 178th Street,,Jamaica,NY,11434,This funding engages cultural programs and institutions to provide arts enrichment to students through after-school programs.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 08431,2021,Cultural After-School Adventure (CASA),Miller,"A Better Jamaica, Inc.",113804421,Cleared,20000,DCLA,Public School 136Q (29Q136),114-73 178th Street,,Jamaica,NY,11434,This funding engages cultural programs and institutions to provide arts enrichment to students through after-school programs.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 06486,2021,Cultural After-School Adventure (CASA),Adams,"A Better Jamaica, Inc.",113804421,Cleared,20000,DCLA,Public School 40Q (28Q040),114-73 178th Street,,Jamaica,NY,11434,This funding engages cultural programs and institutions to provide arts enrichment to students through after-school programs.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 07188,2021,Cultural Immigrant Initiative,Miller,"A Better Jamaica, Inc.",113804421,Cleared,20000,DCLA,,114-73 178th Street,,Jamaica,NY,11434,The funds will be used to support cultural organizations to provide programming focused on the cultural history or traditions of an immigrant community in New York City. This initiative will help increase access to unique cultural offerings that focus on immigrant heritages.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 08495,2021,Cultural Immigrant Initiative,Adams,"A Better Jamaica, Inc.",113804421,Cleared,10000,DCLA,Council District 28,114-73 178th Street,,Jamaica,NY,11434,The funds will be used to support cultural organizations to provide programming focused on the cultural history or traditions of an immigrant community in New York City. This initiative will help increase access to unique cultural offerings that focus on immigrant heritages.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 07149,2021,Cultural Immigrant Initiative,Gennaro,"A Better Jamaica, Inc.",113804421,Cleared,30000,DCLA,Rufus King Park & the Jamaica Dance Festival,114-73 178th Street,,Jamaica,NY,11434,The funds will be used to support cultural organizations to provide programming focused on the cultural history or traditions of an immigrant community in New York City. This initiative will help increase access to unique cultural offerings that focus on immigrant heritages.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 00030,2021,Local,Gennaro,"A Better Jamaica, Inc.",113804421,Cleared,5000,DCLA,Classic Film Fridays,114-73 178th Street,,Jamaica,NY,11434,"Funding will go to ""Classic Film Fridays"" for summer movie series. Funds will be used for exhibition licenses, marketing costs, and staff costs.",,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 00031,2021,Local,Miller,"A Better Jamaica, Inc.",113804421,Cleared,5000,DCLA,Family Movies in the Park,114-73 178th Street,,Jamaica,NY,11434,Funds to support expenses related to presenting family-friendly movies at Jamaica parks.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 00032,2021,Local,Miller,"A Better Jamaica, Inc.",113804421,Cleared,10000,DCLA,Jamaica Reads,114-73 178th Street,,Jamaica,NY,11434,Funds are used to support operational expenses of the Jamaica Reads in-school tutoring program.,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 00033,2021,Youth,Adams,"A Better Jamaica, Inc.",113804421,Cleared,5000,DYCD,South Jamaica Reads - Public School 80Q (28Q080),114-73 178th Street,,Jamaica,NY,11434,Funds are to support the Jamaica Reads program at PS 80 The Thurgood Marshall Magnet School of Multimedia and Communication (28Q080).,,,QUEENS,40.693113,-73.771003,412,27,424,4219917,4103120056,St. Albans
FY21 00034,2021,Youth,Chin,"A Place for Kids, Inc.",133624631,Cleared,5000,DYCD,,111 Division Street,,New York,NY,10002,Funding to support education program for at-risk children in Chinatown and LES.,,,MANHATTAN,40.714398,-73.992299,103,1,6,1003612,1002830094,Lower East Side
FY21 00035,2021,Youth,Rivera,"A Place for Kids, Inc.",133624631,Cleared,5000,DYCD,Public School 34M,111 Division Street,,New York,NY,10002,Funding will support A Place for Kids after school program at Public School 34.,,,MANHATTAN,40.714398,-73.992299,103,1,6,1003612,1002830094,Lower East Side
FY21 00036,2021,Youth,Louis,"A Sister's Hand, Inc.",461816281,Cleared,5000,DYCD,Council District 45,1052 East 42nd St.,,Brooklyn,NY,11210,"Funds will allow a Sister's Hand to empower youth to achieve academic success, while promoting a healthy and safe community.",,,BROOKLYN,40.62918,-73.935722,318,45,734,3215111,3077670057,Flatlands
