MOCS ID,Fiscal Year,Source,Council Member,Legal Name of Organization,EIN,Status,amount,Agency,Program Name,Address,Address 2 (optional),City,State,Postcode,Purpose of Funds,Fiscal Conduit Name,FC EIN,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
FY14 1245,2014,Hunter College Food Policy Center,,City University of New York,136400434,Cleared,200000,CUNY,,,,,,,"The NYC Food Policy Center at Hunter College seeks to assist New York City communities, residents, government agencies and institutions to develop, implement and evaluate policies that will improve the city’s food environment and reduce food-related health, social, environmental and economic problems.",,,,,,,,,,,
FY14 1240,2014,Center for Puerto Rican Studies,,City University of New York,136400434,Cleared,470000,CUNY,,,,,,,"This allocation represents a restoration to the Center for Puerto Rican Studies which was created to archive, preserve, and research Puerto Rican culture. The Center is located at Hunter College in Manhattan.",,,,,,,,,,,
FY14 1244,2014,Dominican Studies Institute,,City University of New York,136400434,Cleared,470000,CUNY,,,,,,,"This allocation represents a restoration to the CUNY Dominican Studies Institute, which was created to archive, preserve, and research the Dominican culture.  The institute is located at City College in Manhattan.",,,,,,,,,,,
FY14 1243,2014,CUNY Citizenship NOW,,City University of New York,136400434,Cleared,800000,CUNY,,,,,,,This funding will provide professional training for a graduating cohort of nurses.,,,,,,,,,,,
FY14 1239,2014,Black Male Initiative,,City University of New York,136400434,Cleared,2500000,CUNY,,,,,,,,,,,,,,,,,,
FY14 1241,2014,Creative Arts Team,,City University of New York,136400434,Cleared,200000,CUNY,,,,,,,"This allocation represents funding to support the Creative Arts Team, which challenges at-risk youth with participatory drama workshops and residencies that foster important learning skills and positive social development.   These outreach programs serve a variety of student populations in regular, special education, alternative, and Head Start programs.  They are also age-appropriate and tailored for each grade level from Pre-K to high school.",,,,,,,,,,,
FY14 1247,2014,Technical Assistance for Child Care Providers,,City University of New York,136400434,Cleared,1200000,CUNY,NY Early Childhood Professional Development Institute,"16 Court St.,  31st floor",,Brooklyn,NY,11241,Funding for technical assistance to child care providers.,,,BROOKLYN,40.693445,-73.990577,2,33,9,3002108,3002500044,Brooklyn Heights-Cobble Hill
FY14 1238,2014,Boro,Manhattan Delegation,City University of New York,131988190,Cleared,3500,CUNY,,160 Convent Avenue NAC 4107,,New York,NY,10031,"To provide for restoration to the CUNY Dominican Studies Institute, so that it may continue its library, archives, gallery and research services. Funding also supports educational workshops for k-12 public school students (10 annual workshops); academic lectures, seminars, and art exhibits, all open to the public free of charge.",,,MANHATTAN,40.819196,-73.950221,9,9,21703,1084081,1019570200,Manhattanville
FY14 1242,2014,CUNY Advanced Certificate Program,,City University of New York,136400434,Cleared,50000,CUNY,,,,,,,"The program provides additional, targeted classroom and lab instruction for CUNY students studying computer science and related fields to prepare them to join the City’s tech workforce.",,,,,,,,,,,
FY15 5223,2015,Murphy Institute Center for Worker Education,,City University of New York,136400434,Cleared,100000,CUNY,,,,,,,This allocation represents a restoration to the Murphy Institute Center for Worker Education which provides access to education for working adults and training and education for New York City union members.,,,,,,,,,,,
FY15 5157,2015,Food Policy Center at Hunter College,,City University of New York,136400434,Cleared,200000,CUNY,,,,,,,"The NYC Food Policy Center at Hunter College seeks to assist New York City communities, residents, government agencies and institutions to develop, implement and evaluate policies that will improve the city’s food environment and reduce food-related health, social, environmental and economic problems.",,,,,,,,,,,
FY15 5121,2015,Dominican Studies Institute,,City University of New York,136400434,Cleared,970000,CUNY,,,,,,,"This allocation represents a restoration to the CUNY Dominican Studies Institute, which was created to archive, preserve, and research the Dominican culture.  The institute is located at City College in Manhattan.",,,,,,,,,,,
FY15 5106,2015,CUNY Citizenship NOW! Expansion,,City University of New York,136400434,Cleared,1000000,CUNY,,,,,,,This allocation supports the expansion of the CUNY Citizenship Now! program which provides free immigration law services to assist immigrants on their path to U.S. citizenship.,,,,,,,,,,,
FY15 5102,2015,Creative Arts Team,,City University of New York,136400434,Cleared,200000,CUNY,,,,,,,"This allocation represents funding to support the Creative Arts Team, which challenges at-risk youth with participatory drama workshops and residencies that foster important learning skills and positive social development.   These outreach programs serve a variety of student populations in regular, special education, alternative, and Head Start programs.  They are also age-appropriate and tailored for each grade level from Pre-K to high school.",,,,,,,,,,,
FY15 5011,2015,Anti-Gun Violence Initiative - Evaluation,,City University of New York,136400434,Cleared,250000,CUNY,,,,,,,"Funding was also allocated to measure the results of the recommended programs and their impact on the neighborhood, the task force recommends a community survey be conducted before and after the interventions listed above.",,,,,,,,,,,
FY15 5265,2015,Results Based Accountability of Council Initiatives,,City University of New York,136400434,Cleared,500000,CUNY,,,,,,,This allocation provides funding for evaluating organizations and agencies receiving City Council initiative funding through a results-based accountability model.,,,,,,,,,,,
FY15 5105,2015,CUNY Advanced Certificate Program,,City University of New York,136400434,Cleared,50000,CUNY,,,,,,,"The program provides additional, targeted classroom and lab instruction for CUNY students studying computer science and related fields to prepare them to join the City’s tech workforce.",,,,,,,,,,,
FY15 5031,2015,Center for Puerto Rican Studies,,City University of New York,136400434,Cleared,970000,CUNY,,,,,,,"This allocation represents a restoration to the Center for Puerto Rican Studies which was created to archive, preserve, and research Puerto Rican culture. The Center is located at Hunter College in Manhattan.",,,,,,,,,,,
FY15 5039,2015,City Council Merit-Based Scholarships,,City University of New York,136400434,Cleared,10915000,CUNY,,,,,,,This funding will provide first-year CUNY students who graduated from a New York City high school with a B or better average and who maintain a B or better average with a scholarship of approximately $400 for each semester of the 2014-2015 academic year.,,,,,,,,,,,
FY15 0938,2015,Local,Cabrera,City University of New York,131988190,Cleared,20000,CUNY,Dominican Studies Institute,160 Convent Avenue NAC 4107,,NY,NY,10031,Funding will support the continuation and finalization of the research regarding Dominican Veterans of WWII.,,,MANHATTAN,40.819196,-73.950221,9,9,21703,1084081,1019570200,Manhattanville
FY15 5107,2015,CUNY Prep,,City University of New York,136400434,Cleared,2700000,CUNY,,,,,,,"This allocation represents a restoration to CUNY Prep, a high school equivalency and college preparatory program in the Bronx serving students ages 16-18 who have left traditional high schools.",,,,,,,,,,,
FY16 5459,2016,Murphy Institute Center for Worker Education,,City University of New York,136400434,Cleared,100000,CUNY,,,,,,,"This allocation represents a restoration of $100,000 from Fiscal 2015 to provide access to education for working adults and training for New York City union members.",,,,,,,,,,,
FY16 4981,2016,City Council Merit-Based Scholarships,,City University of New York,136400434,Cleared,17000000,CUNY,,,,,,,This allocation will provide scholarships of $400 per semester to eligible CUNY students during the 2015-2016 academic year.,,,,,,,,,,,
FY16 5089,2016,Creative Arts Team,,City University of New York,136400434,Cleared,372000,CUNY,,,,,,,"This allocation represents a restoration of $200,000 from Fiscal 2015, as well as an enhancement of $172,000. The Creative Arts Team challenges at-risk youth with participatory drama workshops and residencies that foster important learning skills and positive social development. Programs are grade and age appropriate and serve a variety of student populations, including pre-kindergarten through twelfth grade, english speakers of other languages, special education, college students, and alternative schools.",,,,,,,,,,,
FY16 5345,2016,CUNY Advanced Certificate Program,,City University of New York,136400434,Cleared,50000,CUNY,,,,,,,"This allocation represents a restoration of $50,000 from Fiscal 2015, supporting supplemental targeted classroom and lab instruction to prepare CUNY students to join the City’s technology workforce.",,,,,,,,,,,
FY16 5346,2016,CUNY Citizenship NOW! Expansion,,City University of New York,136400434,Cleared,1000000,CUNY,Citizenship NOW,,,,,,This funding supports the expansion of the CUNY Citizenship NOW! Program which provides free immigration law services to assist immigrants on their path to U.S. citizenship.,,,,,,,,,,,
FY16 5369,2016,Dominican Studies Institute,,City University of New York,136400434,Cleared,970000,CUNY,,,,,,,"This allocation represents a restoration of $970,000 from Fiscal 2015, supporting the archiving, preservation, and research of Dominican culture at City College.",,,,,,,,,,,
FY16 5497,2016,NYC Food Policy Center at Hunter College,,City University of New York,136400434,Cleared,200000,CUNY,,,,,,,"This allocation represents a restoration of $200,000 from Fiscal 2015. The New York City Food Policy Center at Hunter College seeks to assist New York City communities, residents, government agencies, and institutions to develop, implement, and evaluate policies that will improve the City’s food environment and reduce food-related health, social, environmental, and economic problems.",,,,,,,,,,,
FY16 5585,2016,Technical Assistance for Child Care Providers (CUNY PDI),,City University of New York,136400434,Cleared,500000,CUNY,,,,,,,This allocation supports the CUNY NY Early Childhood Professional Development Institute to provide technical assistance and quality improvement support to current baselined and non-baselined child care providers. CUNY PDI will help providers participate in QUALITYstarsNY.,,,,,,,,,,,
FY16 4910,2016,Anti-Gun Violence   - Evaluation,,City University of New York,136400434,Cleared,250000,CUNY,,,,,,,This allocation supports efforts to measure the results of the programs in the anti-gun violence initiative and their impact on gun violence in the neighborhoods served.,,,,,,,,,,,
FY16 4966,2016,Center for Puerto Rican Studies,,City University of New York,136400434,Cleared,970000,CUNY,,,,,,,"This allocation represents a restoration of $970,000 from Fiscal 2015 supporting the archiving, preservation, and research of Puerto Rican culture at Hunter College.",,,,,,,,,,,
FY17 5221,2017,CUNY Citizenship NOW! Program,,City University of New York,136400434,Cleared,2000000,CUNY,,,,,,,This initiative provides free immigration law services and related events Citywide.,,,,,,,,,,,
FY17 5223,2017,CUNY Technical Apprenticeship Program,,City University of New York,136400434,Cleared,50000,CUNY,,,,,,,"This program provides additional, targeted classroom and lab instruction for CUNY students studying computer science and related fields to prepare them to join the City's tech workforce.",,,,,,,,,,,
FY17 5417,2017,Joseph S. Murphy Institute Center for Worker Education,,City University of New York,136400434,Cleared,300000,CUNY,,,,,,,This initiative supports the Institute's program to increase education access for working adult students and provide workforce training to union members.,,,,,,,,,,,
FY17 8845,2017,Adult Literacy Initiative,,City University of New York,136400434,Cleared,2000000,CUNY,,,,,,,"Funds create additional basic literacy, English for Speakers of Other Languages and Graduate Equivalent Degree classes for adults who cannot read, write or speak the English language, along with adding support services such as counseling and case management.",,,,,,,,,,,
FY17 5222,2017,CUNY Research Institutes,,City University of New York,136400434,Cleared,2140000,CUNY,,,,,,,"This allocation supports research, policy development, evaluation and archival efforts at CUNY research institutes. Of this amount, $970,000 goes to the Center for Puerto Rican Studies, $970,000 goes to the Dominican Studies Institute, and the remaining $200,000 goes to the New York City Food Policy Center at Hunter College.",,,,,,,,,,,
FY17 0930,2017,Local,Ferreras-Copeland,City University of New York,136400434,Cleared,3500,CUNY,Central Office of Student Affairs,,,,,,"To support a part-time (non-teaching adjunct) coach and judge to allow travel for re-emerging debate programs at CUNY campuses through the Central Office of Student Affairs (COSA). Also, to help fund program costs, including intercollegiate travel.",,,,,,,,,,,
FY17 4739,2017,City Council Merit-Based Scholarships,,City University of New York,136400434,Cleared,14899000,CUNY,,,,,,,This allocation provides funding for merit-based scholarships for eligible CUNY and FIT students in the 2016-2017 academic year.,,,,,,,,,,,
FY18 1002,2018,Local,Miller,City University of New York,136400434,Cleared,5000,CUNY,,,,,,,Funding will support general operating costs for York College's Performing Arts Center.,,,,,,,,,,,
FY18 1007,2018,Local,Williams,City University of New York,136400434,Cleared,5000,CUNY,Medgar Evers College - MEPI's Parent Academy Workshop,,,,,,"Funding is for MEPI's Parent Academy Workshops, Curriculum Planning and School Innovation programs, STEM Institute Workshops, the Smart Scholars Program, College Now Program and Leadership Institute Workshops",,,,,,,,,,,
FY18 1000,2018,Boro,Brooklyn Delegation,City University of New York,136400434,Cleared,7000,CUNY,Medgar Evers College,,,,,,Funds will be used to support the Medgar Evers College Center for Black Literature.,,,,,,,,,,,
FY18 1001,2018,Local,Barron,City University of New York,136400434,Cleared,20000,CUNY,Medgar Evers College - Brooklyn Pipeline,,,,,,To support Medgar College's Brooklyn Pipeline educational programming.,,,,,,,,,,,
FY18 1005,2018,Local,Speaker,City University of New York,136400434,Cleared,50000,CUNY,College of Staten Island,,,,,,Funds will be used for the Staten Island Breast Cancer Research.,,,,,,,,,,,
FY18 8790,2018,CUNY Research Institutes,,City University of New York,136400434,Cleared,200000,CUNY,LGBTQ Public History Project at LaGuardia Community College,,,,,,"This allocation supports five research-focused, non-degree granting institutes housed in colleges within the City University of New York.",,,,,,,,,,,
FY18 5265,2018,Create New Technology Incubators,,City University of New York,136400434,Cleared,450000,CUNY,Lehman College,,,,,,"This initiative will launch new technology incubators and supports the operation of business incubators in the outer boroughs. These incubators will provide various types of support to technology start-ups and entrepreneurs, and help promote future growth of the technology sector in the four boroughs.",,,,,,,,,,,
FY18 5266,2018,Create New Technology Incubators,,City University of New York,136400434,Cleared,450000,CUNY,Queens College,,,,,,"This initiative will launch new technology incubators and supports the operation of business incubators in the outer boroughs. These incubators will provide various types of support to technology start-ups and entrepreneurs, and help promote future growth of the technology sector in the four boroughs.",,,,,,,,,,,
FY18 5264,2018,Create New Technology Incubators,,City University of New York,136400434,Cleared,500000,CUNY,College of Staten Island,,,,,,"This initiative will launch new technology incubators and supports the operation of business incubators in the outer boroughs. These incubators will provide various types of support to technology start-ups and entrepreneurs, and help promote future growth of the technology sector in the four boroughs.",,,,,,,,,,,
FY18 5532,2018,CUNY Research Institutes,,City University of New York,136400434,Cleared,1940000,CUNY,,,,,,,"This allocation supports five research-focused, non-degree granting institutes housed in colleges within the City University of New York.",,,,,,,,,,,
FY18 5120,2018,City Council Merit-Based Scholarships,,City University of New York,136400434,Cleared,14293469,CUNY,,,,,,,"This allocation provides scholarships to eligible CUNY and FIT students during the 2017- 2018 academic year. Scholarships are automatically applied to the accounts of first-time, first-year college students who have graduated from a New York City high school in the past year with a college admissions average (GPA) of 80 or higher. Recipients retain eligibility throughout their first year of college, after which eligibility is reviewed annually based on the requirement that students maintain a cumulative grade point average (GPA) of 3.0 or higher.",,,,,,,,,,,
FY18 1003,2018,Local,Rose,City University of New York,136400434,Cleared,5000,CUNY,College of Staten Island - Liberty Partnership Program,,,,,,"Funds will support administrative, staffing and operational costs associated with running CSI's Liberty Partnerships Program.�",,,,,,,,,,,
FY18 5938,2018,Veterans Community Development,Citywide,City University of New York,136400434,Cleared,250000,CUNY,,,,,,,Expansion of the Project for Return and Opportunity program that aids veterans studying at CUNY in navigating GI benefits and facilitating their transition into student life.,,,,,,,,,,,
FY18 5780,2018,Remediation Programs,Citywide,City University of New York,136400434,Cleared,2000000,CUNY,,,,,,,This allocation supports the redevelopment of current remediation programming at CUNY colleges.,,,,,,,,,,,
FY18 5697,2018,Joseph S. Murphy Institute Center for Worker Education,Citywide,City University of New York,136400434,Cleared,940000,CUNY,,,,,,,This allocation provides access to education for working adults and training for New York City union members.,,,,,,,,,,,
FY18 1004,2018,Local,Rose,City University of New York,136400434,Cleared,6000,CUNY,College of Staten Island - Small Business Development Center's program for North Shore Market,,,,,,"Funds will support administrative, staffing and operation costs associated with expanding The Staten Island Small Business Development Center's program in the underserved immigrant and minority population in the SI North Shore market.�",,,,,,,,,,,
FY18 9050,2018,CUNY Research Institutes,,City University of New York,136400434,Cleared,200000,CUNY,LGBTQ Research Center at LaGuardia CC,,,,,,"This allocation supports five research-focused, non-degree granting institutes housed in colleges within the City University of New York.",,,,,,,,,,,
FY18 1006,2018,Local,Ulrich,City University of New York,136400434,Cleared,25000,CUNY,Queens College,,,,,,Funding to support TABE and TASC preparation programs in CD 32,,,,,,,,,,,
FY19 09970,2019,Adult Literacy Initiative,,City University of New York,136400434,Cleared,50000,CUNY,Borough of Manhattan Community College Adult Literacy Initiative,199 Chambers Street N375,,New York,NY,10007,"This funding creates additional basic literacy, English for Speakers of Other Languages and Graduate Equivalency Degree classes for adults who cannot read, write or speak English, in addition to funding support services such as counseling and case management for students.",,,MANHATTAN,40.716838,-74.012117,101,1,39,1066406,1001420050,SoHo-TriBeCa-Civic Center-Little Italy
FY19 09974,2019,Adult Literacy Initiative,,City University of New York,136400434,Cleared,100000,CUNY,Bronx Community College Adult Literacy Initiative,"230 West 41st Street, 7th floor",,New York,NY,10036-7207,"This funding creates additional basic literacy, English for Speakers of Other Languages and Graduate Equivalency Degree classes for adults who cannot read, write or speak English, in addition to funding support services such as counseling and case management for students.",,,,,,,,,,,
FY19 09700,2019,Educational Programs for Students,,City University of New York,133893536,Cleared,500000,CUNY,City College of New York - STEM Program,160 Convent Ave,SH154,New York,NY,10031,"The STEM Institute offers courses in the physical sciences, mathematics, English, engineering, programming, entrepreneurship, and other enriching fields. The STEM Institute currently offers three programs; an after-school program, a non-STEM college level coursework Saturday program, and a STEM focused college level coursework Summer Institute.",,,MANHATTAN,40.819196,-73.950221,109,9,21703,1084081,1019570200,Manhattanville
FY19 05902,2019,Speaker's Initiative,,City University of New York,133893536,Cleared,50000,CUNY,College of Staten Island - Breast Cancer Research,,,,,,Funds will be used for Staten Island Breast Cancer Research.,,,,,,,,,,,
FY19 01003,2019,Local,Rose,City University of New York,133893536,Cleared,5000,CUNY,College of Staten Island - Liberty Partnership Program,,,,,,"Funds will support administrative, staffing and operational costs associated with running CSI's Liberty Partnerships program.",,,,,,,,,,,
FY19 01004,2019,Local,Rose,City University of New York,133893536,Cleared,5000,CUNY,College of Staten Island - Small Business Development Center,,,,,,"Funds will support administrative, staffing and operation costs associated with expanding The Staten Island Small Business Development Center's program in the underserved immigrant and minority population in the SI North Shore market.",,,,,,,,,,,
FY19 05817,2019,Create New Technology Incubators,,City University of New York,133893536,Cleared,500000,CUNY,Create New Technology Incubators: College of Staten Island,,,,,,"This initiative supports technology incubators and that provide various types of support to technology start-ups and entrepreneurs, and help promote future growth of the technology sector.",,,,,,,,,,,
FY19 05819,2019,Create New Technology Incubators,,City University of New York,133893536,Cleared,450000,CUNY,Create New Technology Incubators: Lehman College,,,,,,"This initiative supports technology incubators and that provide various types of support to technology start-ups and entrepreneurs, and help promote future growth of the technology sector.",,,,,,,,,,,
FY19 05818,2019,Create New Technology Incubators,,City University of New York,133893536,Cleared,450000,CUNY,Create New Technology Incubators: Queens College,,,,,,"This initiative supports technology incubators and that provide various types of support to technology start-ups and entrepreneurs, and help promote future growth of the technology sector.",,,,,,,,,,,
FY19 06134,2019,CUNY Childcare,,City University of New York,136400434,Cleared,150000,CUNY,CUNY Child Care Expansion,,,,,,"This allocation supports enrollment capacity, expanded hours, additional teachers, materials, and equipment for children’s activities in childcare centers at CUNY colleges.",,,,,,,,,,,
FY19 05371,2019,CUNY Childcare,,City University of New York,136400434,Cleared,450000,CUNY,CUNY Child Care Expansion,,,,,,"This allocation supports enrollment capacity, expanded hours, additional teachers, materials, and equipment for children’s activities in childcare centers at CUNY colleges.",,,,,,,,,,,
FY19 09958,2019,Local,Cornegy,City University of New York,136400434,Cleared,6000,CUNY,CUNY Citizenship Now!,"230 West 41st Street, 7th Floor",,New York,NY,10036-7207,"Funding to support the provision immigrant legal services, community citizenship events and Know Your Rights education.",,,,,,,,,,,
FY19 10000,2019,Local,Levine,City University of New York,136400434,Cleared,7500,CUNY,CUNY Citizenship Now!,"230 West 41st Street, 7th Floor",,New York,NY,10036-7207,To fund legal services assistance in the Council District 7.,,,,,,,,,,,
FY19 10001,2019,Local,Cohen,City University of New York,136400434,Cleared,10000,CUNY,CUNY Citizenship Now!,"230 West 41st Street, 7th Floor",,New York,NY,10036-7207,To fund legal services assistance in the Council District 11.,,,,,,,,,,,
FY19 09980,2019,CUNY Citizenship NOW! Program,,City University of New York,136400434,Cleared,2500000,CUNY,CUNY Citizenship Now!,"230 West 41st Street, 7th Floor",,New York,NY,10036-7207,"This funding supports CUNY Citizenship NOW! program, which provides free immigration law services to assist immigrants on their path to U.S. citizenship.",,,,,,,,,,,
FY19 01219,2019,Local,Rosenthal,City University of New York,133893536,Cleared,4500,CUNY,CUNY Creative Arts Team Arts Program,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,Funds support arts program in Council District 6 high school.,,,,,,,,,,,
FY19 09975,2019,Creative Arts Team,,City University of New York,133893536,Cleared,400000,CUNY,CUNY Creative Arts Team Drama Workshops,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,"Programs are grade and age appropriate and serve a variety of student populations, including Pre-K-12, English for Speakers of Other Languages (ESOL), special education, alternative schools, and colleges. The Creative Arts Team challenges at-risk youth with participatory drama workshops and residencies that foster important learning skills and positive social development.",,,,,,,,,,,
FY19 01216,2019,Local,Koslowitz,City University of New York,133893536,Cleared,3000,CUNY,CUNY Creative Arts Team Dropout Prevention,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,To support dropout prevention through workshops in Council District 29.,,,,,,,,,,,
FY19 01220,2019,Local,Adams,City University of New York,133893536,Cleared,5000,CUNY,CUNY Creative Arts Team Educational Workshops,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,"Funds will support educational workshops using theater to improve literacy, tolerance and college readiness in Council District 28.",,,,,,,,,,,
FY19 01222,2019,Local,Cornegy,City University of New York,133893536,Cleared,5000,CUNY,CUNY Creative Arts Team Educational Workshops,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,"Funds will support interactive educational workshops for students, parents and teachers including the topic of College Readiness.",,,,,,,,,,,
FY19 01218,2019,Local,Gibson,City University of New York,133893536,Cleared,10000,CUNY,CUNY Creative Arts Team Educational Workshops,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,"Funds will support interactive educational workshops for Council District 16 students, parents and teachers in Early Childhood Literacy, Teaching Tolerance, and College Readiness programs.",,,,,,,,,,,
FY19 01217,2019,Local,Constantinides,City University of New York,133893536,Cleared,5000,CUNY,CUNY Creative Arts Team Interactive Educational Workshop,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,Funds will be used to defray the cost of running an in-school arts program in a Council District 22 school.,,,,,,,,,,,
FY19 01223,2019,Local,Perkins,City University of New York,133893536,Cleared,10000,CUNY,CUNY Creative Arts Team Programming and Services,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,Funding to support CAT's programming and services in Council District 9.,,,,,,,,,,,
FY19 01221,2019,Local,Williams,City University of New York,133893536,Cleared,3000,CUNY,CUNY Creative Arts Team Youth Theatre,"101 W. 31st Street, 6th Fl.",,New York,NY,10001-3591,Funds to support the CUNY Creative Arts Team Youth Theatre.,,,,,,,,,,,
FY19 01011,2019,Local,Powers,City University of New York,133893536,Cleared,12500,CUNY,"CUNY Graduate Center - ""GC Presents"" Series",365 Fifth Avenue,,New York,NY,10016-4309,"Funding will support the free admission public program series ""GC Presents.""",,,,,,,,,,,
FY19 01002,2019,Anti-Poverty,Dromm,City University of New York,136400434,Cleared,5000,CUNY,CUNY LGBTQI Student Leadership Program,,,,,,To fund CUNY LGBTQI Student Leadership program.,,,,,,,,,,,
FY19 01007,2019,Local,Speaker,City University of New York,136400434,Cleared,75000,CUNY,CUNY LGBTQI Student Leadership Program,,,,,,Funds will be used for the program administrative budget of the LGBTQI Student Leadership Program,,,,,,,,,,,
FY19 09921,2019,Local,Vallone,City University of New York,133893536,Cleared,5000,CUNY,CUNY School of Law -  CLRN Legal,CUNY School of Law - CLRN,2 Court Square,Long Island City,NY,11101,Funding to support Community Legal Resource Network services and programming in Council District 19.,,,,,,,,,,,
FY19 09918,2019,Local,Deutsch,City University of New York,133893536,Cleared,50000,CUNY,CUNY School of Law -  CLRN Legal,CUNY School of Law - CLRN,2 Court Square,Long Island City,NY,11101,"Funding to support legal services for vulnerable families and seniors, with regard to general areas of law.",,,,,,,,,,,
FY19 09967,2019,Anti-Poverty,Rose,City University of New York,133893536,Cleared,20000,CUNY,CUNY School of Law - City Counseling,CUNY School of Law - CLRN,2 Court Square,Long Island City,NY,11101,"Funds will be utilized to help cover the administrative, operational and staffing costs to support attorney staffing in the district to provide advice and assistance to constituents regarding civil matters.",,,,,,,,,,,
FY19 09923,2019,Local,Levine,City University of New York,133893536,Cleared,5000,CUNY,CUNY School of Law - Community Legal Counseling,CUNY School of Law - CLRN,2 Court Square,Long Island City,NY,11101,Funding for legal services including advice and assistance in Council District 7.,,,,,,,,,,,
FY19 09963,2019,Local,Kallos,City University of New York,133893536,Cleared,2500,CUNY,CUNY School of Law - Legal Clinics,CUNY School of Law - CLRN,2 Court Square,Long Island City,NY,11101,"To support free legal clinics in Council District 5 for residents twice monthly for housing and one monthly for small claims, noticed through Council District 5 monthly newsletter and website.",,,,,,,,,,,
